charcter,definition,pinyin
篭,cage; cage-like basket,lóng
縜,,yún
腣,,dì
赲,,lì
馻,,yǔn
磞,,pēng
睕,,wǎn
瞜,to see; to look at; to observe,lōu
碠,,dìng
磽,barren land; sandy soil,qiāo
簘,"musical instrument like pan-pipes, bamboo flute",xiāo
腃,,kuì
腵,,jiā
蓳,,jǐn
覇,rule by might rather than right,bà
醱,to brew for the second time,fā
銝,,xiū
巛,river; KangXi radical 47,chuān
鐴,,bì
鑵,jar; can,guàn
隩,"profound, subtle; warm",ào
颺,"soar, fly, float; scatter",yáng
飮,drink; swallow; kind of drink,yǐn
飰,,fàn
餇,food,tóng
饐,"spoiled, rotten, sour",yì
痃,"indigestion; buboes, lymphatic inflammation",xuán
駞,camel,tuó
鴜,,cí
㳠,(simplified form of ,tà
䁖,to see; to look at; to observe,lōu
睅,big-eyed,hàn
睍,to look at fearfully; overly cautious,xiàn
碭,brilliantly colored stone with veined patterns in it,dàng
碽,,gōng
磸,,dìng
礉,,hé
礽,"blessings, happiness",réng
祾,,líng
禌,,zī
筥,round-shaped bamboo basket for holding rice,jǔ
簴,,jù
紣,,cuì
絍,to lay the warp; to weave,rèn
縆,a rope,gēng
繀,,suì
繃,"bind, draw firmly, strap",běng
羕,,yàng
羵,spirit,fén
耇,wrinkled face of the elderly,gǒu
聫,"connect, join; associate, ally",lián
脗,"coinciding, agreeing",wěn
臯,"to praise; to bless high; eminent; (Cant.) a marsh, pool",gāo
艁,,zào
艂,,féng
茞,fragrant plant; angelica,chén
葨,,wēi
蒄,,guān
蒭,to cut grass; hay; fodder,chú
薂,,xí
藯,,wèi
蜆,a variety of bivalves,xiàn
螑,,xiù
蟼,,jǐng
衟,,dào
褑,,yuàn
褠,,gōu
訐,,jié
訔,,yín
詖,argue; biased; one-sided,bì
詗,to spy; to give information; shrewd,xiòng
詪,difficulty in speaking; wrangling,hěn
諈,,zhuì
諑,slander; gossip; rumors,zhuó
讌,"a feast, banquet; to entertain, feast",yàn
豗,clamour,huī
豷,,yì
貗,,jù
貣,,tè
賯,,xiōng
贋,false; counterfeit; bogus; sham,yàn
冱,"freezing; stopped up, closed off",hù
輀,hearse,ér
蒈,an organic compound,kǎi
轓,,fān
迋,"travel, go to; deceive; scare",wàng
逓,"hand over, deliver; substitute",dì
鄺,surname,kuàng
酳,,yìn
鈪,(Cant.) bracelet; bangle,è
尜,a child toy,gá
鐐,fetters,liáo
轷,surname,hū
霘,,dòng
鞄,to work hides; leather bag,páo
騧,tan or piebald horse,guā
髽,to dress the hair,zhuā
魣,,xù
鯀,giant fish; father of the emperor Yu,gǔn
鰰,,shen
鴹,,yáng
鼪,weasel,shēng
龔,"give, present; reverential",gōng
秊,,
䴔,the fishing cormorant,jiāo
眮,,tóng
笀,,máng
籣,bow case,lán
藑,,qióng
垲,high and dry place,kǎi
鍳,,jiàn
鵬,fabulous bird of enormous size,péng
禔,happiness; peace; good fortune,zhī
穯,,se
茿,,zhú
莂,,bié
薃,,hào
襛,fine clothes,nóng
谻,,jí
賚,"give, present, confer; surname",lài
魳,a barracuda,zā
鵄,variant of ,zhī
㭎,(simplified form of ,gāng
穄,panicled millet,jì
穵,"deep hollow;, gouge, dig out",wā
篛,cuticle of bamboo plant,ruò
簑,a coat raincoat,suō
絭,,juàn
緅,silk of purplish color,zōu
緍,variant of ,mín
罇,"a goblet; a bottle, a wine-jar",zūn
耑,specialized; concentrated,duān
艒,,mù
豠,,chú
蹎,,diān
辢,"bitter, pungent, acrid",là
醻,"to pledge, thank",chóu
鐍,hasp of a lock,jué
鑮,,bó
闍,tower over city gate,dū
頳,red,chēng
驈,black horses,yù
髲,a wig,bì
鱮,silver carp (Hypophthalmichthys molitrix); bream; (Cant.) ,xù
麰,barley,móu
鼄,the spider,zhū
鼅,spider,zhī
鼖,drum,fén
㩳,"to hold; to grasp, to detain, to uphold, to push, to stand upright; expel, to shirk, to raise up",sǒng
眣,prominent eyes,dié
睎,to long for; to gaze at,xī
瞣,,huan
矀,,méi
硊,,wěi
碅,,jūn
磪,a high mountain; precipitous,cuī
礒,,yǐ
禞,,gào
秠,millet,pī
穙,,pú
穱,,zhuō
窯,kiln; coal mine pit,yáo
竢,"wait for, wait until, as soon as",sì
笍,,zhuì
筩,bamboo pipe; fish hook,tóng
篳,"wicker, bamboo",bì
簠,an ancient vessel used for holding boiled grain,fǔ
粃,empty husks of grain,bǐ
粖,,mò
糓,"grain, corn",gǔ
糺,to collaborate; to band together,jiū
紭,,hóng
紾,turns or twist; a switch,zhěn
絶,cut,jué
綅,thread,qīn
繂,,lǜ
繋,"attach, connect, unite, fasten",jì
繣,obstinate; perverse,huà
罙,deep,mí
罥,impede,juàn
罼,,bì
羗,tribes in West China; strong; educated; obstinate; a particle,qiāng
羜,lamb,zhù
翭,,hóu
耮,a kind of farm tool,lào
聸,,dān
肸,spread out; smilling or laughing,xī
胹,cooked; well-done,ér
脣,lips,chún
腬,"(Cant.) greasy, oily",ròu
膄,to become emaciated,sòu
膆,the corp of a bird or fowl; fat,sù
膋,fat,liáo
臕,"fat; gross, sleek",biāo
舃,a shoe; the sole of a shoe; magpie,xì
艫,bow or prow of boat,lú
艭,ship,shuāng
艶,"beautiful, sexy, voluptuous",yàn
艼,,tīng
荢,,yu
荳,"beans, peas; bean-shaped",dòu
萚,,tuò
蓗,a plant; five-fold,zǒng
蓱,,píng
蕋,"unopened flowers, flower buds",ruǐ
蕟,,fà
薐,spinach,léng
薠,,fán
藺,rush used in making mats; surname,lìn
蘓,"thyme; revive, resurrect; soviet",sū
蘪,,méi
虵,,shé
蚾,,pí
蛖,,máng
蛜,,yī
蝍,a centipede,jié
蝨,louse; bed bug,shī
蟂,,xiāo
蟜,insect,jiǎo
蠏,"crab, brachyura",xiè
衕,"alley, lane",tòng
衘,,xián
袟,book cover; satchel or bag,zhì
袬,,gǔn
誾,speak gently; respectful,yín
譅,wriggling,sè
譌,"false, erronious",é
譸,"deceive, cheat; hurried, bustling",zhōu
讜,"counsel, advice; speak out",dǎng
趝,to pursue; to follow up,jiàn
趡,place,cuǐ
跾,,shū
踀,,chù
踸,,chěn
蹡,to limp; walking; in motion,qiāng
垌,a field; used in place names,dòng
蹳,,bō
躛,exaggerate,wèi
躩,"take quick, short steps",jué
躶,"bare, nude; undress, strip",luǒ
軏,cross-bar at the end of the poles of a cart,yuè
軬,,fàn
輵,great array of spears and chariots,gé
轗,fail,kǎn
轥,,lìn
逷,"distant, far away",tì
遈,,shí
邌,to walk slowly; to parade,lí
鄟,,zhuān
醎,,xián
釭,tire of wheel; band,gāng
鈸,cymbals,bó
怊,,chāo
銌,,zùn
鋂,bit cup,méi
鋎,,hàn
鍐,"a headstall, ornament on a bride",zōng
鎴,,xí
鎸,"engraving tool; carve, engrave",juān
鑘,,léi
閔,"mourn, grieve; urge on, incite",mǐn
雋,"superior, outstanding, talented",juàn
膪,pork,chuài
霣,fall,yǔn
靃,,huò
韍,a leather knee-pad worn during sacrifices,fú
颩,,biāo
飦,"well-boiled congee or gruel; thick, rich",zhān
餔,eat; dinner time; sunset,bù
駋,,zhāo
騄,name of a legendary swift horse,lù
骩,,wěi
骻,,kuà
骾,any object that sticks in throat; bony,gěng
鬙,matted hair,sēng
鬽,,mèi
魫,the young of fish,shěn
鯈,fish,tiáo
鯩,,lún
鯬,,lí
鰌,loach; squid; lizard; eel,qiū
鲓,,kǎo
鴂,the tailor-bird; the working bird,jué
鶍,,yi
鶠,,yǎn
鷁,fishhawk; bow or prow,yì
鷖,seagull,yī
鸇,hawk; Butastur indicus,zhān
鸘,eagle,shuāng
鸧,oriole,cāng
鹙,large waterfowl with naked head; Garrulus glandarius,qiū
麏,,jūn
黮,"black, dark; unclear; private",dǎn
齯,teeth grown in old age,ní
龓,a halter,lǒng
盓,,yū
眕,restraint,zhěn
睘,round; stare,qióng
睩,,lù
矂,,sào
矵,,qì
矺,(Cant.) to press steadily,zhé
砪,,mǔ
硂,,quán
碒,,yín
磣,gritty,chěn
祤,,yǔ
禩,,sì
稑,rice,lù
穐,"fall, autumn",qiū
穛,,zhuō
竂,,piáo
笉,,qǐn
篟,,qiàn
篺,,pí
紂,name of an emperor; saddle part,zhòu
紻,,yǎng
綹,"skein; tuft, lock; wrinkle",liǔ
緐,,fán
縈,"entangle, entwine, coil",yíng
繖,"umbrella, parasol, parachute",sǎn
繯,"noose; hang death; tie, bind",huán
繴,a kind of fishing-net,bì
纀,,pú
羉,,luán
翈,,xiá
耡,hoe,chú
腀,,lún
艩,tholepin,qí
苅,"cut off, reap, mow; sickle",yì
莁,,wú
菞,,lí
菳,,qín
萈,,huán
蒁,,shù
蒑,,yìn
蓔,,yǎo
蓕,,guì
蔙,,xuàn
蔿,surname; place name,wěi
蕧,,fù
薆,to cover; to hide; to conceal,ài
薗,"garden; park, orchard",yuán
薝,,zhān
藀,,yíng
蘌,,yǔ
虋,asparagus a variety of red-stalked millet,mén
蚿,millipede,xián
蜫,insects,kūn
蜽,,liǎng
螥,the house-fly,cāng
蠚,,hē
袽,clothes,rú
裶,,fēi
裺,,yǎn
褣,,róng
褸,"lapel, collar; tattered, threadbare",lǚ
詅,to sell,líng
詇,,yàng
詐,"cheat, defraud, swindle; trick; to feign",zhà
誻,,tà
諧,"harmonize, agree; joke, jest",xié
謚,to confer posthumous titles,shì
豧,,fū
貮,number two,èr
賡,continue,gēng
賱,,yǔn
赑,strong,bì
赹,,qióng
赽,,jué
踃,,xiāo
蹞,,kuǐ
蹧,to spoil; to ruin,zāo
躻,,kong
躿,tall,kāng
輻,spokes of wheel,fú
郟,county in Henan province; surname,jiá
鄑,kick; place in Shandong province,zī
酼,,hǎi
醁,a kind of green-colored wine,lù
醕,,chún
醥,,piǎo
釪,an alms bowl; a small bell,huá
鈵,,bǐng
銒,,xíng
銙,,kuǎ
鋺,a metal bowl,yuǎn
錗,,nèi
錥,,yù
鍓,,jí
鍟,(Cant.) rust,xīng
鎍,chain; wire,suǒ
鎘,cadmium,lì
鏿,,chēng
鐎,,jiāo
鐤,huge tripod of bronze with two ears; sacrificial vessel,dǐng
鐿,ytterbium,yì
鑊,"cauldron, large iron pot; a wok",huò
锧,"tungsten, wolfram",zhì
閧,"boisterous; clamor, noise",hòng
闛,,táng
隝,"dock, entrenchment, low wall",dǎo
隥,,dèng
隦,,jiǎo
靄,"cloudy sky, haze; calm, peaceful",ǎi
靱,"strong and pliable, resilient",rèn
鞪,,mù
鞺,the sound of drums,tāng
鞿,,jī
韟,,gāo
顀,,chuí
飀,soughing of wind; noise,liú
飥,rice cake,tuō
飪,cooked food; cook until well done,rèn
餒,"hungry, starving, famished",něi
饆,,bì
馿,an ass; a donkey,lǘ
癀,jaundice,huáng
驦,horse,shuāng
髉,,bó
鬉,,zōng
鬸,,liù
魛,the mullet,dāo
鳷,jay (Garrulus lidthi),zhī
鵋,,jì
鵏,,bǔ
鵨,,shū
鵼,"a fabulous night-bird, grotesque monster",kōng
鷵,,tú
鷼,,xián
鸍,,mí
鸓,,lěi
鸖,,hè
鹠,the owl,liú
黶,"mole, scar, blemish",yǎn
鼉,"large reptile, water lizard",tuó
齰,to bite,zé
碀,,chéng
礇,,yù
禪,"meditation, contemplation (dhyana); to level ground for altar; abdicate",chán
筣,,lí
箏,stringed musical instrument; kite,zhēng
糧,"food, grain, provisions",liáng
紐,"knot; button; handle, knob; tie",niǔ
紳,"girdle; tie, bind; gentry",shēn
綀,a kind of sackcloth,shū
緱,cord binding on hilt of sword,gōu
缾,"jar, bottle",píng
羷,,liǎn
耊,,diè
臚,arrange in order; display,lú
艍,,jū
葏,,jīng
蠅,flies,yíng
詛,"curse; swear, pledge",zǔ
誽,,nì
諂,"flatter, truckle, toady",chǎn
賂,bribe; give present,lù
輧,curtained carriage used by women,píng
輽,vehicle,bèn
釦,"button; buckle, clasp; engrave",kòu
鈕,"button, knob; surname",niǔ
鏍,,luó
鏽,"rust, corrode",xiù
鐲,"bracelet, armband; small bell",zhuó
颱,taiphoon,tái
饝,to feed an infant by hand steamed bread,mó
騇,,shè
髏,skull; skeleton,lóu
腂,,lěi
臗,,kuān
眀,,míng
砫,,zhù
祙,demon,mèi
祳,,shèn
粧,toilet; make-up; dress up; adorn,zhuāng
蕣,hibiscus,shùn
觓,,qiú
趹,,jué
鄍,a town in Shandong province,míng
鈡,,zhōng
羭,good,yú
蝄,,wǎng
衸,,jiè
謡,"sing; folksong, ballad; rumor",yáo
閏,"intercalary; extra, surplus",rùn
盪,to toss about; to swing; to rock,dàng
眲,,nè
睋,,é
矃,,nǐng
矒,,méng
硟,(Cant.) to slip; to work and polish gems,chàn
碩,"great, eminent; large, big",shuò
磄,,táng
礂,,xi
礊,,kè
祰,,gào
祹,,táo
禐,,yuàn
秳,,huó
秼,,zhū
稄,,xùn
稇,"to bind, as faggots of sheaves",kǔn
稈,stalk of grain; straw,gǎn
稘,"a full year, an anniversary",jī
稙,grain ready for grinding,zhī
穢,"dirty, unclean; immoral, obscene",huì
竸,"contend, vie, compete",jìng
竾,flute,chí
笐,bamboos placed across wooden frames on which grain may be stored in damp climates,háng
笜,,zhú
筂,,chí
箒,broom,zhǒu
箛,bugle,gū
箞,,qiān
箤,,zú
箷,,yí
箹,,yuē
箿,,jí
篜,,zhēng
簞,small bamboo basket for holding,dān
簤,,dài
簨,a beam for hanging bells or drums,sǔn
簹,tall bamboo,dāng
簽,"sign, endorse; slip of paper",qiān
籬,bamboo or wooden fence; hedge,lí
粔,cakes made from rice flour twisted into rings,jù
粸,,qí
紇,"inferior silk; tassel, fringe",hé
紝,"weave, lay warp",rèn
紺,dark blue or reddish color,gàn
絆,"loop, catch; fetter, shackle",bàn
絳,deep red; river in Shanxi provinc,jiàng
綄,,huán
綊,,xié
綏,"soothe, appease, pacify; carriage harness",suī
綒,,fū
綔,,hù
綗,,jiǒng
綴,"patch together, link, connect",zhuì
緝,to sew in close stitches,jī
緞,satin,duàn
緦,coarse cotton cloth used for mourning,sī
緰,net,tóu
緶,"hem; plait, braid, queue",biàn
縣,"county, district, subdivision",xiàn
縹,light blue silk; dim; misty,piǎo
繜,,zūn
繝,,jiàn
繩,"rope, string, cord; measure, restrain",shéng
纏,"wrap, wind around; tie, bind",chán
罃,long necked jar or bottle,yīng
罝,net for catching rabbits,jū
罰,"penalty, fine; punish, penalize",fá
羴,rank odour of sheep or goats,shān
翢,,dào
聡,"intelligent, clever, bright",cōng
聹,earwax,níng
聻,death of a disembodied spirit; depraved,nǐ
聾,deaf,lóng
脕,,wàn
脟,,liè
脳,brain,nao
脽,,shuí
脿,,biāo
臈,year end sacrifice; dried meat,là
艑,small boat,biàn
艙,hold of ship; cabin,cāng
艢,a mast; a yard-arm or boom,qiáng
芻,"mow, cut grass; hay, fodder",chú
茻,,mǎng
荊,thorns; brambles; my wife; cane,jīng
菐,a thicket,pú
菓,"fruits, nuts, berries",guǒ
菙,,chuí
菚,,zhàn
菣,,qìn
菦,,qín
菨,,jiē
葔,,hóu
葠,ginseng,shēn
葮,,duàn
葲,,quán
蓙,"a mat, matting",zuo
蔁,,zhāng
蕛,,tí
蕜,,fěi
蕦,,xū
蕵,,sūn
蕷,yam,yù
薖,"empty, hungry-looking",kē
藨,,biāo
藮,,qiáo
藰,,liú
藳,,gǎo
藵,,bao
虃,,jiān
虘,,cuó
虜,"to capture, imprison, seize; a prison",lǔ
虝,,hǔ
蛥,,shé
蛶,,jiè
蜠,,jùn
蝸,"a snail, Eulota callizoma",wō
螐,,wū
螖,,huá
螡,,wén
螢,"glow-worm, luminous insect",yíng
蟳,a kind of crab,xún
蠌,,zé
蠍,scorpion,xiē
蠒,,jiǎn
蠗,,zhuó
蠝,,léi
蠟,"wax; candle; waxy, glazed",là
袘,,yí
褜,,pao
褨,,suǒ
襾,cover; KangXi radical 146,yà
覊,"halter; restrain, hold, control",jī
覚,to wake up from sleep; conscious,jué
覛,,mì
覟,,zhì
覠,,jūn
覯,meet or see unexpectedly,gòu
訜,,fēn
訡,"to chant, to moan, to sigh",yín
訮,,xiān
証,"prove, confirm, verify; proof",zhèng
詷,,tóng
詺,,mìng
諉,"pass buck, lay blame on others",wěi
諒,"excuse, forgive; guess, presume",liàng
諘,,biǎo
諦,"careful, attentive",dì
諺,"proverb, maxim",yàn
謀,"plan, scheme; strategem",móu
謠,"sing; folksong, ballad; rumor",yáo
謩,,mò
謸,,áo
謽,,jiàng
讍,honest speech,è
讛,,yì
貦,,wàn
貸,lend; borrow; pardon,dài
貽,"give to, hand down, bequeath",yí
賅,prepared for; inclusive,gāi
賊,"thief, traitor",zéi
賳,,zāi
賺,"make money, earn; gain, profit",zhuàn
贀,,yì
贄,gift superior; gift given,zhì
贊,"help, support, assist, aid",zàn
贌,,pu
趪,,huáng
跁,"trample on, tread on; search for; (Cant.) to squat down",bà
跈,,niǎn
跒,,qiǎ
蹖,,chōng
軀,body,qū
軇,,dào
軔,a block that keeps a wheel from moving,rèn
軘,war car,tún
軣,"rumble, explosion, blast",hōng
軻,axle; personal name of mencius,kē
輒,sides of chariot where weapons,zhé
輥,"turn round, revolve; roller",gǔn
輦,a hand-cart; to transport by carriage,niǎn
轟,"rumble, explosion, blast",hōng
逇,,dùn
邔,,qǐ
邥,,shěn
邫,,bāng
鄽,,chán
醆,wine cup; muddy wine,zhǎn
醞,"liquor, spirits, wine; ferment",yùn
醽,kind of wine,líng
釥,,qiǎo
鈂,,chén
鈽,plutonium,bū
鉍,bismuth,bì
鉛,lead plumbum,qiān
銓,"weigh, measure; select officials",quán
銜,"bit; hold in mouth, bite; gag",xián
鋇,barium,bèi
鋒,"point of spear, sharp point",fēng
鋰,lithium,lǐ
鋷,,zuì
錠,"spindle, slab, cake, tablet",dìng
錦,"brocade, tapestry; embroidered",jǐn
鎲,,tǎng
鏈,"chain, wire, cable; chain, shack",liàn
鏟,"spade, shovel, trowel, scoop",chǎn
鐑,,qiè
鐬,,huì
鑲,"insert, inlay, set, mount; fill",xiāng
鑴,"to engrave or carve, as a block for printing",xī
鑿,"chisel; bore, pierce",záo
镻,,dié
閑,"fence, barrier; defend; idle time",xián
閰,,jú
閳,,chǎn
閴,quiet,qù
閹,castrate; eunuch,yān
闌,door screen; railing fence,lán
闡,"explain, clarify, elucidate",chǎn
陮,,duì
陻,"small hill, mound; bury; dam",yīn
霂,"fine rain, drizzle",mù
靵,,niǔ
鞊,,jié
鞛,,běng
韓,fence; surname; Korea,hán
韴,,zá
韷,,lè
頊,grieved; anxious,xū
頋,"to care for, to look after to regard; to turn the head round to look",ě
頓,"pause, stop; bow, kowtow; arrange",dùn
頜,mouth; jaw,hé
顕,"manifest, display; evident, clear",xiǎn
顨,,xùn
顴,cheek bones,quán
飷,,jiě
飺,,cí
飾,"decorate, ornament, adorn; to deceive",shì
餀,tainted food,hài
餌,"bait; bait, entice; dumplings",ěr
餓,hungry; greedy for; hunger,è
饒,"bountiful, abundant, plentiful",ráo
饡,,zàn
饳,,duò
饻,,xī
馴,"tame, docile, obedient",xún
駜,strong horse,bì
駣,,táo
駥,,róng
駨,,xūn
駶,,jú
騰,fly; gallop; run; prance; rise,téng
騿,,zhāng
驁,"wild horse, mustang; wild",ào
驇,heavy horse; horse unable to move because of twisted leg; plodding,zhì
驑,,liú
驕,spirited horse; haughty,jiāo
驖,black (horse),tiě
驥,thoroughbred horse; refined,jì
髞,"high, imposing, eminent",sào
鬀,to shave,tì
鬄,,dí
鬅,unkempt hair; loose; flowing hair; (Cant.) ,péng
鬢,hair on temples,bìn
鬧,quarrel; dispute hotly,nào
魰,the flying-fish,wén
魵,shrimp,fén
魸,,pian
魺,,hé
鯊,shark,shā
鯐,,zou
鯓,,ní
鯖,mackerel,zhēng
鯗,dried fish,xiǎng
鰞,squid,wū
鰬,,qián
鰵,codfish,mǐn
鰸,,qū
鰻,eel,mán
鱌,,xiàng
鱺,eel,lí
鳩,"pigeon, dove; collect, assemble",jiū
鳪,,bú
鳶,kite; Milvus species (various),yuān
鴭,,duī
鴳,quail,yàn
鴴,,héng
鴵,,xiāo
鴺,the pelican,tí
鴽,a species of bird resembling quail,rú
鵁,the fishing cormorant,jiāo
鵝,goose,é
鶈,,qī
鶐,,shù
鶓,emu,miáo
鶩,duck,wù
鶴,crane; Grus species (various),hè
鷩,pheasant,bì
鷴,silver pheasant badge worn by civil officials of the 5th grade; Lophura species (various),xián
鷽,"oriental bullfinch, weaver bird; Pyrrhula species (various)",xué
麩,bran,fū
麵,"flour, dough, noodles",miàn
鼑,,dǐng
鼘,,yuān
鼮,,tíng
齲,tooth decay,qǔ
齼,,chǔ
龝,"autumn, fall; year",qiū
䦃,"(simplified form) to dig with a hoe, a big hoe",zhuō
䲣,(simplified form) to fish; to seize,yú
䲠,(simplified form ,chūn
禖,sacrifice,méi
禵,,tí
秅,,chá
竌,,chù
籙,book,lù
粵,Guangdong and Guangxi provinces; initial particle,yuè
緋,"scarlet, dark red, crimson; purple",fēi
羠,,yí
翖,ksc extension 3108,xì
艣,"stern oar, scull [?]",lǔ
蚡,mole,fén
訹,to beguile with false stories,xù
諠,"noisy, uproarious; forget",xuān
輂,,jú
輨,,guǎn
遶,entwine; wind around; surround,rào
鈆,lead,qiān
鈖,,fēn
銅,"copper, brass, bronze cuprum",tóng
鍥,"sickle; cut, carve, engrave",qiè
鎇,americium,méi
绗,baste,háng
鐷,,yè
閽,"gatekeeper; gate, door",hūn
闟,peacefully; quietly,xì
韮,"scallion, leek",jiǔ
騣,mane,zōng
髧,"long hair; (Cant.) to hang down, droop",dàn
鴢,,yǎo
鷘,,chì
黺,,fěn
祶,,dì
荮,grass,zhòu
瞏,round,qióng
稴,,xián
笲,basket,fán
笿,,luò
縪,,bì
纍,"bind, wind about; link, join",léi
翸,,pěn
肧,embryo; unfinished things,pēi
臶,,jiàn
蜸,,qiǎn
豊,"abundant, lush, bountiful, plenty",lǐ
賁,forge ahead; energetic; surname,bì
輐,,wàn
輘,a car-rut; rumbling of a cart,léng
邏,patrol; inspect; watch,luó
雘,dye made from red soil; ochre,wò
鯽,"Carassius auratus, crucian carp",zéi
䓖,(simplified form of ,qióng
眞,"real, actual, true, genuine",zhēn
睴,,gùn
瞡,,guǐ
砏,,bīn
磯,jetty; submerged rock; eddy,jī
粿,rice cake,guǒ
紘,"string; vast, expansive",hóng
舋,"split; (Cant.) a mark, trace",xìn
葋,,qú
薭,,bai
虲,,xiā
蠩,a toad,zhū
覵,steal look; peep at; spy on,jiàn
註,explain; annotate; make entry,zhù
詄,,dié
譗,,zhá
趰,,ěr
軧,,dǐ
岍,,qiān
鉼,plate; (Cant.) a penny,bǐng
鋪,"spread out, arrange; shop, store; place to sleep, bed",pù
鞻,,lóu
颵,,shāo
餼,sacrificial victim; gift; grain,xì
騍,mother horse,kè
驂,two outside ones in three horse,cān
鯘,,něi
鳿,,yù
龎,"disorderly, messy; huge, big",páng
睉,,cuó
砤,,tuó
礑,,dàng
禰,,mí
窤,,guān
竈,furnace; kitchen stove,zào
聶,whisper; surname,niè
蕒,a plant name,mǎi
説,speak,shuō
趌,(Cant.) to order someone to leave,jí
踄,,bù
鑰,key; lock,yào
隣,neighbor; neighboring; adjacent,lín
饌,"feed, support, provide for; food; fine meats, delicacies",zhuàn
